2Y 1 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@,2Y 1 B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth in Feet,Baseline date, Profile change in inches for different date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@,Depth in Feet,Baseline, Profile change in inches for different date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/6/2018,10/31/2018,11/13/2018,12/5/2018,12/18/2018,1/5/2019,1/21/2019,2/6/2019,2/25/2019,3/13/2019,4/1/2019,4/10/2019,4/24/2019,5/15/2019,5/29/2019,6/12/2019,7/8/2019,7/24/2019,8/16/2019,8/30/2019,9/25/2019,10/10/2019,11/1/2019,11/21/2019,12/7/2019,12/18/2019,1/9/2020,2/8/2020,3/12/2020,4/3/2020,5/2/2020,5/31/2020,7/12/2020,9/4/2020,11/3/2020,2/4/2021,6/8/2021,2/21/2022,@,,10/6/2018,10/31/2018,11/13/2018,12/5/2018,12/18/2018,1/5/2019,1/21/2019,2/6/2019,2/25/2019,3/13/2019,4/1/2019,4/10/2019,4/24/2019,5/15/2019,5/29/2019,6/12/2019,7/8/2019,7/24/2019,8/16/2019,8/30/2019,9/25/2019,10/10/2019,11/1/2019,11/21/2019,12/7/2019,12/18/2019,1/9/2020,2/8/2020,3/12/2020,4/3/2020,5/2/2020,5/31/2020,7/12/2020,9/4/2020,11/3/2020,2/4/2021,6/8/2021,2/21/2022
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0.00414861,0.003546392,0.01311496,0.026163007,0.035664661,0.03037853,0.039612532,0.042958185,0.048712708,0.040616228,0.04898036,0.04898036,0.058348189,0.059017319,0.057946711,0.061493103,0.074608063,0.075812498,0.077485324,0.065173321,0.055337101,0.081968499,0.097492329,0.101306374,0.108064593,0.11522429,0.120108944,0.124993597,0.119239074,0.130815034,0.134762904,0.134160687,0.142524819,0.164739955,0.172769523,0.172769523,0.212114402,@,1,0,0.00327874,0.007895741,0.020475397,0.036869096,0.042824359,0.024891659,0.040683141,0.030780008,0.037002923,0.032988139,0.041686837,0.042690533,0.050452448,0.050653187,0.054266492,0.058883493,0.067180713,0.069388844,0.075544845,0.054667971,0.044028794,0.068385148,0.073805106,0.092875328,0.093611372,0.091470154,0.107328549,0.116830204,0.114153681,0.132822425,0.129543685,0.137707079,0.147810951,0.188761744,0.181133655,0.181133655,0.218538056
3,0,0.004884653,0.000669131,0.001070609,0.009100176,0.014185569,0.009501655,0.018936396,0.019806266,0.023285745,0.020475397,0.027635094,0.026497572,0.032653574,0.034660965,0.034660965,0.038608836,0.04001401,0.043894968,0.044898664,0.040080923,0.038608836,0.042088315,0.050318622,0.048511969,0.051857622,0.05727758,0.058883493,0.062296059,0.057143754,0.066645408,0.069121192,0.07193154,0.0686528,0.077552237,0.073403628,0.073403628,0.098228373,@,3,0,0.004483175,0.00240887,0.001940479,0.014319395,0.016995917,0.001873566,0.016995917,0.003747131,0.012312003,0.010438437,0.017129744,0.016795178,0.022415875,0.025694615,0.030110877,0.043092011,0.03519627,0.044631011,0.042489794,0.043225837,0.045367055,0.03934488,0.038274271,0.051656883,0.050987752,0.048244317,0.061359277,0.070660192,0.065909365,0.082303065,0.094414329,0.09488272,0.107462375,0.12767012,0.119908205,0.119908205,0.141052732
5,0,0.001539,0.002007392,0.000267652,0.007494263,0.012111264,0.007092784,0.016594439,0.015791482,0.01726357,0.014319395,0.020609223,0.019270961,0.024557093,0.02622992,0.026096094,0.029374834,0.030846921,0.034460226,0.035463922,0.032653574,0.032385921,0.033657269,0.042489794,0.040415489,0.043894968,0.048712708,0.049381839,0.051924535,0.04657149,0.055805493,0.058883493,0.062362973,0.059820276,0.069388844,0.064571104,0.064571104,0.086652414,@,5,0,0.007895741,0.014854699,0.010304611,0.000401478,0.003680218,0.010438437,0.004349349,0.009970046,0.001338261,0.003546392,0.002275044,0.001605913,0.005219219,0.009903133,0.014453221,0.026832137,0.019337875,0.028906442,0.024155615,0.026363746,0.029642486,0.023754137,0.023553397,0.035999227,0.035865401,0.032988139,0.044028794,0.0522591,0.046504577,0.061693842,0.075344106,0.074407323,0.0865855,0.104384375,0.098897504,0.098897504,0.118569943
7,0,0.002475783,0.005486871,0.002676522,0.00568761,0.010304611,0.005085393,0.014118656,0.012312003,0.012847308,0.009100176,0.014453221,0.012847308,0.01726357,0.01880257,0.018601831,0.021813658,0.023754137,0.027032876,0.027969659,0.025025485,0.025293137,0.025694615,0.033858009,0.031649878,0.035664661,0.039612532,0.039077227,0.040281663,0.034527139,0.04242288,0.04590236,0.049114187,0.045768533,0.055069449,0.051255404,0.051255404,0.071463149,@,7,0,0.003613305,0.013382612,0.007761915,0.002341957,0.007293524,0.003680218,0.009167089,0.003880958,0.004014784,0.00086987,0.005620697,0.005620697,0.009367828,0.012914221,0.017731961,0.028772616,0.02054231,0.030646182,0.026832137,0.03037853,0.031582965,0.025627702,0.024824745,0.036199966,0.037672053,0.036199966,0.04242288,0.051790709,0.045300142,0.058348189,0.070526366,0.068987366,0.08022876,0.095418024,0.089596588,0.089596588,0.108466071
9,0,0.00240887,0.000334565,0.001472087,0.009903133,0.014319395,0.009167089,0.017999613,0.016126048,0.016594439,0.012914221,0.017665048,0.015791482,0.020007005,0.021612919,0.02121144,0.024423267,0.026430659,0.029441747,0.029776312,0.028036572,0.027835833,0.027367442,0.034259487,0.032118269,0.035798487,0.039612532,0.038943401,0.039612532,0.033657269,0.041017706,0.044965577,0.047909751,0.044296446,0.052526753,0.048177404,0.048177404,0.065976278,@,9,0,0.002944175,0.013382612,0.008029567,0.001204435,0.005955262,0.004282436,0.008765611,0.001539,0.003613305,0.000401478,0.004483175,0.005085393,0.00655748,0.010438437,0.014118656,0.024155615,0.015724569,0.026096094,0.023218832,0.025761528,0.027032876,0.020943788,0.021412179,0.030846921,0.031984443,0.032385921,0.035330096,0.042556707,0.036467618,0.047842838,0.057812884,0.055270188,0.06470493,0.07781989,0.070660192,0.070660192,0.088592892
11,0,0.00481774,0.000936783,0.002743435,0.009367828,0.014185569,0.009234002,0.01726357,0.015791482,0.016527526,0.013315699,0.018468005,0.016192961,0.019270961,0.021412179,0.020609223,0.023954876,0.025159311,0.029241007,0.028839529,0.027300529,0.027233616,0.025962268,0.031315312,0.029575573,0.032921226,0.036133053,0.03606614,0.036802183,0.030780008,0.03760514,0.041686837,0.04416262,0.04088388,0.048043578,0.042222141,0.042222141,0.056943015,@,11,0,0.002944175,0.014453221,0.009568568,0.006691306,0.001338261,0.005286132,0.005353045,0.002944175,6.69E-05,0.002275044,0.000802957,0.002676522,0.002810349,0.005353045,0.008765611,0.016460613,0.00896635,0.019806266,0.018200352,0.018601831,0.021144527,0.015791482,0.017397396,0.023018093,0.025226224,0.025627702,0.024757832,0.028170399,0.022750441,0.031382225,0.039813271,0.035865401,0.042088315,0.052928231,0.040950793,0.040950793,0.060288668
13,0,0.010170785,0.005353045,0.007092784,0.01552383,0.018735657,0.013583351,0.021144527,0.019003309,0.020876875,0.01880257,0.023687223,0.021412179,0.02449018,0.026363746,0.026096094,0.029441747,0.029241007,0.033724183,0.032921226,0.032385921,0.03104766,0.02863879,0.032653574,0.032519747,0.03519627,0.038876488,0.040415489,0.043025098,0.037270575,0.043894968,0.048913447,0.052125274,0.050318622,0.05727758,0.055470927,0.055470927,0.067716017,@,13,0,0.005152306,0.007360437,0.002743435,0.00414861,0.003947871,0.000736044,0.009970046,0.003947871,0.004951566,0.003680218,0.005286132,0.007695002,0.006758219,0.008364133,0.012111264,0.017598135,0.012512742,0.021813658,0.021144527,0.018936396,0.023352658,0.018936396,0.021679832,0.024021789,0.025426963,0.02536005,0.023687223,0.024423267,0.019137135,0.026430659,0.032854313,0.026832137,0.030512356,0.039211054,0.022348962,0.022348962,0.047106795
15,0,0.002676522,0.000468391,0.001940479,0.012579655,0.012914221,0.007962654,0.014386308,0.011308307,0.014386308,0.012914221,0.018133439,0.01552383,0.017665048,0.020140831,0.019538614,0.023553397,0.02208131,0.026564485,0.025694615,0.026163007,0.024088702,0.021612919,0.024356354,0.026631398,0.028237312,0.033590356,0.036266879,0.041887576,0.036400705,0.043092011,0.04985023,0.054601057,0.055069449,0.061827668,0.067448365,0.067448365,0.075143367,@,15,0,0.008029567,0.003747131,0.000334565,0.001070609,0.00655748,0.006089089,0.011107568,0.006958958,0.007360437,0.006825132,0.00896635,0.009970046,0.009568568,0.009769307,0.012713482,0.019003309,0.013315699,0.021412179,0.02121144,0.018936396,0.02362031,0.018735657,0.02208131,0.023954876,0.024757832,0.025025485,0.023218832,0.023352658,0.018601831,0.024423267,0.029776312,0.02362031,0.026363746,0.034660965,0.017598135,0.017598135,0.038073532
17,0,0.006022175,0.008029567,0.004884653,0.005219219,0.004349349,0.001539,0.005219219,0.002542696,0.006022175,0.003546392,0.008497959,0.006289828,0.008832524,0.010839916,0.010773003,0.013516438,0.012044351,0.015657656,0.014988526,0.015925308,0.014051743,0.011174481,0.013917917,0.015791482,0.01726357,0.023687223,0.026363746,0.032519747,0.02776892,0.033791096,0.040616228,0.044831751,0.046906056,0.052861318,0.062563712,0.062563712,0.066511582,@,17,0,0.011776699,0.000535304,0.003144914,0.004282436,0.010438437,0.011642873,0.014185569,0.012713482,0.010438437,0.012378916,0.012044351,0.012780395,0.013181873,0.015122352,0.01552383,0.019204048,0.015390004,0.02121144,0.021746745,0.01967244,0.024222528,0.018601831,0.021947484,0.023285745,0.024891659,0.026029181,0.02362031,0.022482788,0.018401092,0.023954876,0.026564485,0.020876875,0.020943788,0.027032876,0.010505351,0.010505351,0.028973355
19,0,0.00173974,0.004750827,0.00086987,0.005888349,0.005486871,0.004014784,0.007092784,0.005085393,0.007895741,0.005955262,0.010170785,0.00809648,0.010304611,0.012512742,0.011642873,0.014118656,0.013382612,0.015925308,0.014921613,0.016059135,0.015390004,0.012780395,0.014587047,0.016326787,0.017196657,0.022750441,0.025025485,0.029241007,0.025962268,0.03037853,0.035664661,0.039010314,0.040616228,0.045099403,0.052526753,0.052526753,0.057344493,@,19,0,0.016059135,0.004416262,0.007092784,0.00896635,0.01311496,0.015189265,0.017598135,0.015925308,0.014520134,0.015390004,0.016192961,0.014921613,0.015122352,0.0179327,0.018401092,0.020140831,0.017531222,0.020943788,0.022014397,0.020743049,0.024958572,0.02054231,0.022549701,0.02449018,0.025694615,0.027166703,0.02536005,0.023218832,0.02054231,0.024824745,0.026363746,0.021144527,0.020809962,0.025627702,0.011709786,0.011709786,0.028571877
21,0,0.002475783,0.005219219,0.001472087,0.001204435,0.003078001,0.001539,0.004683914,0.004483175,0.006423654,0.004349349,0.008029567,0.006156002,0.007695002,0.009702394,0.008431046,0.009702394,0.009970046,0.012378916,0.010839916,0.011107568,0.012044351,0.009167089,0.011308307,0.01137522,0.011910525,0.015390004,0.016527526,0.018936396,0.015657656,0.019270961,0.022415875,0.024021789,0.023352658,0.026029181,0.026096094,0.026096094,0.035263183,@,21,0,0.010839916,0.003479479,0.007695002,0.011977438,0.012780395,0.015122352,0.016795178,0.013181873,0.013583351,0.014988526,0.014720873,0.014520134,0.014587047,0.016995917,0.018468005,0.019337875,0.016460613,0.019605527,0.019404788,0.020876875,0.022215136,0.019806266,0.020609223,0.024423267,0.026029181,0.028036572,0.028103485,0.02863879,0.026965963,0.031783704,0.034460226,0.0327874,0.034928618,0.039277967,0.0327874,0.0327874,0.044229533
23,0,0.004014784,0.005085393,0.003211827,0.00086987,0.000468391,0.00173974,0.001137522,0.000736044,0.002341957,0.001070609,0.00327874,0.001873566,0.003211827,0.005152306,0.003747131,0.004483175,0.004550088,0.006825132,0.005486871,0.005553784,0.006289828,0.003880958,0.004884653,0.004483175,0.005219219,0.007226611,0.008029567,0.010170785,0.007895741,0.01070609,0.013650264,0.014854699,0.015390004,0.017129744,0.018869483,0.018869483,0.024088702,@,23,0,0.008765611,0.002141218,0.005353045,0.009568568,0.008832524,0.010304611,0.010839916,0.008163393,0.008364133,0.009234002,0.009568568,0.009568568,0.010170785,0.011709786,0.012780395,0.013181873,0.010371524,0.014051743,0.012914221,0.014921613,0.014118656,0.012713482,0.012044351,0.016126048,0.017731961,0.019404788,0.019137135,0.021947484,0.020073918,0.024958572,0.027835833,0.026965963,0.029642486,0.034192574,0.031850617,0.031850617,0.037270575
25,0,0.004884653,0.005553784,0.004750827,0.003880958,0.004081697,0.004750827,0.00240887,0.003144914,0.00173974,0.002810349,0.001338261,0.002275044,0.001137522,0.000334565,0.001539,0.000802957,0.000936783,0.001070609,0.005487,6.69E-05,6.69E-05,0.001605913,0.001204435,0.001873566,0.001271348,0.000535304,0.000468391,0.000468391,0.001137522,0.000334565,0.002475783,0.003078001,0.002944175,0.003345653,0.004081697,0.004081697,0.006022175,@,25,0,0.003613305,0.002944175,0.002475783,0.00568761,0.003947871,0.004282436,0.005888349,0.00327874,0.003680218,0.004683914,0.004014784,0.005353045,0.004683914,0.005888349,0.006356741,0.006758219,0.004416262,0.006423654,0.006490567,0.007628089,0.00655748,0.00568761,0.004550088,0.007962654,0.008431046,0.008765611,0.009300915,0.011910525,0.011107568,0.013650264,0.016527526,0.016059135,0.018735657,0.022750441,0.022482788,0.022482788,0.022148223
27,0,0.002743435,0.001539,0.001605913,0.000802957,0.001338261,0.001605913,0.000267652,0.00086987,0.000133826,0.000334565,6.69E-05,0.000133826,0.000267652,0.000468391,0.001539,0.000267652,6.69E-05,0.001204435,0.000802957,0.000468391,0.000736044,0.000133826,0.000535304,0.000133826,0.000334565,0.000334565,0.000802957,0.001204435,0.000334565,0.001137522,0.001873566,0.002007392,0.002007392,0.002074305,0.000133826,0.000133826,0.003144914,@,27,0,0.003880958,0.005754523,0.006022175,0.00829722,0.006892045,0.006892045,0.006958958,0.00481774,0.005353045,0.006758219,0.006825132,0.007092784,0.006490567,0.006156002,0.007293524,0.008364133,0.005754523,0.006825132,0.006825132,0.007360437,0.006892045,0.006892045,0.007092784,0.008832524,0.009903133,0.009234002,0.010906829,0.011977438,0.011910525,0.01398483,0.014520134,0.014587047,0.016460613,0.018735657,0.0179327,0.0179327,0.01726357
,0,0.003928753,0.003498597,0.003369551,0.008120378,0.01080168,0.007656766,0.012919,0.012139941,0.013932255,0.011466031,0.015786703,0.014381529,0.01755034,0.01908934,0.018745216,,,,0,,,,,,,,,0,0,,,,,,,,,@,,0,0.006662629,0.006911163,0.006638732,0.008273322,0.010328509,0.008622226,0.012761277,0.008703477,0.009042822,0.008889878,0.010686972,0.011169702,0.012670466,0.014778227,0.017363939,,,,0,,,,,,,,,0,0,,,,,,,,
,0,-0.003928753,-0.003498597,-0.003369551,0.003927,-0.01080168,-0.007656766,-0.012919,-0.012139941,-0.013932255,-0.011466031,-0.015786703,-0.014381529,-0.01755034,-0.01908934,-0.018745216,,,,0,,,,,,,,,0,0,,,,,,,,,@,,0,-0.006662629,0.006911163,-0.006638732,-0.008273322,-0.010328509,-0.008622226,-0.012761277,-0.008703477,-0.009042822,-0.008889878,-0.010686972,-0.011169702,-0.012670466,-0.014778227,-0.017363939,,,,0,,,,,,,,,0,0,,,,,,,,
